Column1,Column2,Column3,Column4,Column5
1362659363127660547 ,2021-02-19 ,12:34:43 ,+0530 ,<ChandNehri> #indianfarmersprotest 👁️फर्क साफ है❗ 🤔कहां राजा भोज ❓ 🤭कहां गंगू तेली/कांग्रेस❗   👁️👁️वीडियो देखिए और समझिए देश के सिखों के प्रति सम्मान की बात पर कांग्रेस और मोदी जी के नज़रिए की 🙄भिन्नता❗❗  https://t.co/dttPxA4bgo  https://t.co/2aN42H2LJp
1362436949626134530 ,2021-02-18 ,21:50:56 ,+0530 ,<JasaratAlert> بھارت میں کسانوں کا ملک گیر “ریل روکو ” احتجاج جاری مزید پڑھیے :  https://t.co/bsrQvxMcY4 #IndianFarmers #IndianFarmersProtest  https://t.co/LFIpW5Ln7F
1362420882677788675 ,2021-02-18 ,20:47:05 ,+0530 ,<Surjeet00639403> #IndianFarmersRevolution2021 #FarmersProtest #IndianFarmersProtest #IndianFarmersRevolt #KisanMajdoorEktaZindabaad #LongLiveTheRevolution #IndianFarmers #FarmersMakeIndia #SupportIndianFarmers #SpeakUpForFarmers #FarmersLiveMatter #FarmersRevolt #India2021 #Farmers #Delhi #India  https://t.co/ps4OnEpq7F
1362379152347828228 ,2021-02-18 ,18:01:16 ,+0530 ,<wytchofantioch>  https://t.co/oayqQYVdUL #IndianFarmersProtest
1362326167047589888 ,2021-02-18 ,14:30:43 ,+0530 ,<MFApeoplesparty> Catch up with last nights #ResistanceTV where Chris Williamson was joined by Journalist Minreet Kaur discussing the farmers protests over in India. #indianfarmers #Indianfarmersprotest #Resist  https://t.co/0U5bUuPTdh  https://t.co/mQQUTV5Uwt
1362259822104616960 ,2021-02-18 ,10:07:05 ,+0530 ,<Surjeet00639403> यह भी सच है । #किसान_आंदोलन #किसान_मज़दूर_एकता_ज़िन्दाबाद #किसान_विरोधी_कानून_वापस_लो #किसान_आंदोलन_जारी_रहेगा #IndianFarmersRevolution2021 #SaveFarmers #JusticeForFarmers #FarmersProtests #IndianFarmersProtest  #India #Delhi #FarmersLiveMatter #TheWorldIsWatching #HumanRights  https://t.co/h12GQhPwyz
1362125355000205314 ,2021-02-18 ,01:12:46 ,+0530 ,<MFApeoplesparty> You can watch a replay of Resistance TV with @minkaur5  over on our Youtube  https://t.co/0U5bUuPTdh #IndianFarmersHumanRights #Indianfarmersprotest #ResistanceTV #Resist  https://t.co/rn3r0JWL3p
1362099794651537408 ,2021-02-17 ,23:31:12 ,+0530 ,<MFApeoplesparty> 1 Hour to go! Tune in tonight to #ResistanceTV where Chris Williamson will be joined by Journalist Minreet Kaur discussing the farmers protests over in India. 7PM BST #indianfarmers #Indianfarmersprotest #Resist  https://t.co/0U5bUuPTdh  https://t.co/Oy5UPxe0kd
1362076545066536961 ,2021-02-17 ,21:58:49 ,+0530 ,<JointNarrative_> #India #Farmer #Protest #IndianFarmersProtest #FarmersProtests #IndianFarmers #NarendraModi #IndiaFarmer #FarmersProtest #FarmerProtest #IndianProtest #FarmersBill2020 #IndiaProtests #News #Media #IndianPolitics #Farmers #Delhi #IStandWithFarmers #GretaThunberg #DishaRavi  https://t.co/ygN7Ew7xRs
1361963735129223168 ,2021-02-17 ,14:30:33 ,+0530 ,<MFApeoplesparty> Tune in tonight to #ResistanceTV where Chris Williamson will be joined by Journalist Minreet Kaur discussing the farmers protests over in India. 7PM BST #indianfarmers #Indianfarmersprotest #Resist  https://t.co/0U5bUuPTdh  https://t.co/5z8Pl1SKyq
1361783630301855745 ,2021-02-17 ,02:34:52 ,+0530 ,<ManjeetMinhas4> #indianfarmersprotest #FarmersProtest  #Boycottkangna  #supportindianfarmers
1361749402310701057 ,2021-02-17 ,00:18:52 ,+0530 ,<PulseHuman> 🗞️ The arrest of 22-year-old Indian climate activist #DishaRavi has sparked outrage in #India and abroad. Ravi was detained at the weekend after sharing a document intended to help #Indianfarmersprotest against new #agriculturereformlaws.    https://t.co/qARJTQ93F6
1361742610252132363 ,2021-02-16 ,23:51:52 ,+0530 ,<AaronMubanga> Indian Farmers Protest  #Indianfarmers #farmers #laws #indianfarmersprotest
1361737351832207374 ,2021-02-16 ,23:30:59 ,+0530 ,<MFApeoplesparty> Tune in tomorrow to #ResistanceTV where Chris Williamson will be joined by Journalist Minreet Kaur discussing the farmers protests over in India. Wednesday 7PM BST #indianfarmers #Indianfarmersprotest #Resist  https://t.co/0U5bUuPTdh  https://t.co/LYFqvggdh9
1361691729980772357 ,2021-02-16 ,20:29:42 ,+0530 ,<kevint905> Shouldn't US State Dept sanction #India now? After all they care so much about #Freedom and #Democracy right?  https://t.co/C8n4mbuQ6W   #indianfarmers #indianfarmersprotest #governmenttyanny
